fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
10.17,08-09-2023 13:24,-73.96958025,40.73628094,-73.99524017,40.76588468,5
8.17,09-09-2023 13:24,-73.95631789,40.76972425,-73.98357378,40.7549184,6
10.52,10-09-2023 13:24,-74.00802488,40.7414052,-73.95697868,40.72657151,2
8.44,11-09-2023 13:24,-73.96125293,40.73685607,-73.99534027,40.75010702,1
8.81,12-09-2023 13:24,-73.97629117,40.75256176,-73.9965131,40.77586828,5
8.33,13-09-2023 13:24,-73.97723452,40.72845545,-73.97141347,40.75038745,6
6.05,14-09-2023 13:24,-73.95253121,40.76813182,-73.96767297,40.76732194,1
9.97,15-09-2023 13:24,-73.96514132,40.72447304,-74.00955176,40.7217346,5
8.97,16-09-2023 13:24,-73.95899287,40.77921322,-73.98297335,40.76368488,5
6.32,17-09-2023 13:24,-73.98876027,40.76633469,-73.98065346,40.77681024,3
8.42,18-09-2023 13:24,-73.97673816,40.73192294,-73.99368989,40.74997167,2
6.34,19-09-2023 13:24,-73.97307566,40.72033133,-73.97723342,40.74026259,6
5.32,20-09-2023 13:24,-73.99070496,40.76892769,-74.00072534,40.75879903,6
7.12,21-09-2023 13:24,-73.97578511,40.76241144,-73.99058365,40.77497567,6
10.54,22-09-2023 13:24,-73.99580068,40.76374043,-73.96720565,40.73060618,4
10.74,23-09-2023 13:24,-74.00139746,40.76627622,-73.95757281,40.74422165,3
5.75,24-09-2023 13:24,-73.98756178,40.72444268,-73.97463726,40.72937742,4
9.51,25-09-2023 13:24,-73.96564262,40.74150794,-74.00550933,40.74979925,5
8.17,26-09-2023 13:24,-73.95502877,40.72695214,-73.96927525,40.75242532,1
8.15,27-09-2023 13:24,-73.98253716,40.77178621,-73.95614413,40.77665222,4
6.43,28-09-2023 13:24,-73.97143058,40.75739789,-73.97974116,40.74475091,1
8.16,29-09-2023 13:24,-74.00381777,40.73985388,-73.98037848,40.7540174,4
13.51,30-09-2023 13:24,-73.95573217,40.7238135,-73.95051519,40.77311575,1
3.3,01-10-2023 13:24,-73.97588375,40.73865894,-73.97182213,40.7392843,3
7.41,02-10-2023 13:24,-73.96317971,40.739511,-73.96163827,40.76044983,4
3.98,03-10-2023 13:24,-73.96233353,40.76377637,-73.97121039,40.76542971,3
6.14,04-10-2023 13:24,-73.99461117,40.75825345,-73.99674506,40.73983169,3
12.41,05-10-2023 13:24,-73.97824953,40.77323276,-73.99295531,40.72986047,1
6.64,06-10-2023 13:24,-73.95237121,40.7483329,-73.97005765,40.75017457,4
6.75,07-10-2023 13:24,-74.00462193,40.72717565,-73.98263573,40.7414081,4
9.79,08-10-2023 13:24,-73.96901701,40.76279469,-73.98573913,40.73598775,2
11.49,09-10-2023 13:24,-73.95226416,40.7656471,-74.00865288,40.77840528,1
8.87,10-10-2023 13:24,-73.99196537,40.75367663,-73.95693786,40.75012918,4
4.86,11-10-2023 13:24,-73.95831312,40.76625803,-73.95693013,40.77138866,5
9.18,12-10-2023 13:24,-73.95398055,40.74962774,-73.98234173,40.73171904,2
8.4,13-10-2023 13:24,-73.96517483,40.75136397,-73.96795565,40.77636657,4
6.91,14-10-2023 13:24,-73.9961203,40.74565246,-73.99933084,40.76766589,1
11.73,15-10-2023 13:24,-73.98995996,40.72152515,-73.97977134,40.76852153,6
7.5,16-10-2023 13:24,-74.00785144,40.72647349,-73.98366806,40.74338589,5
9.71,17-10-2023 13:24,-73.96011281,40.72188575,-73.97060319,40.74913822,4
6.22,18-10-2023 13:24,-73.95902333,40.75818462,-73.98182125,40.75560126,3
8.32,19-10-2023 13:24,-73.97203738,40.73886136,-73.98009394,40.76738593,3
8.37,20-10-2023 13:24,-73.98884833,40.75051424,-73.99225725,40.77094341,5
11.92,21-10-2023 13:24,-74.00539134,40.77445399,-74.00709461,40.72468272,5
11.61,22-10-2023 13:24,-73.96481654,40.73495753,-73.95497845,40.77424374,5
12.76,23-10-2023 13:24,-73.96640843,40.74462298,-74.0092661,40.7762498,5
9.55,24-10-2023 13:24,-73.95524385,40.76533307,-73.99312053,40.75557324,1
6.93,25-10-2023 13:24,-73.96616808,40.73372789,-73.98314335,40.73120504,3
12.65,26-10-2023 13:24,-73.9602783,40.72461879,-73.99085446,40.76910489,4
6.05,27-10-2023 13:24,-73.96524272,40.73738509,-73.97688493,40.75291526,4
10.56,28-10-2023 13:24,-73.97215877,40.72967328,-73.98230322,40.76903179,3
4.66,29-10-2023 13:24,-73.98438202,40.77578186,-73.99467143,40.76888849,4
14.24,30-10-2023 13:24,-73.95587296,40.76848722,-74.00471879,40.72520376,6
8.85,31-10-2023 13:24,-73.97094189,40.75800423,-74.00174788,40.75642129,3
8,01-11-2023 13:24,-73.98609868,40.77228764,-73.9808208,40.74898866,6
9.9,02-11-2023 13:24,-74.00499184,40.76822032,-73.95924327,40.77676717,6
6.37,03-11-2023 13:24,-73.99255771,40.7311942,-74.00396167,40.73779848,2
11.6,04-11-2023 13:24,-73.9773764,40.77355354,-73.96936762,40.73236001,3
10.37,05-11-2023 13:24,-73.99346188,40.75236053,-73.96247453,40.77382521,4
11.92,06-11-2023 13:24,-73.99672588,40.76844641,-73.99339366,40.72892293,2
7.04,07-11-2023 13:24,-73.97835639,40.77376548,-73.96990563,40.76119117,4
8.33,08-11-2023 13:24,-73.99981078,40.73908021,-73.96880052,40.73800119,1
8.76,09-11-2023 13:24,-73.9619754,40.72660312,-73.96753244,40.75407075,6
8.7,10-11-2023 13:24,-73.98093791,40.73367611,-73.95655145,40.75697317,4
5.89,11-11-2023 13:24,-73.97556823,40.74562647,-73.98608844,40.74504216,2
5.55,17-02-2023 12:46,-74.001157,40.76908089,-73.99537865,40.7784979,3
12.97,10-10-2023 20:04,-73.99052542,40.77164383,-73.97736931,40.72790999,4
9.62,04-04-2023 22:22,-73.98539462,40.72041713,-74.0062471,40.74348395,3
7.43,18-05-2023 03:34,-73.96150723,40.75064484,-73.98996474,40.74582372,4
6.86,03-09-2023 18:24,-73.96379043,40.74504466,-73.95700649,40.75786282,5
6.96,01-04-2023 04:13,-73.99662135,40.73332647,-73.97807655,40.74443559,6
5.55,15-01-2023 23:38,-73.97302926,40.72719192,-73.98379948,40.72582216,4
10.38,06-02-2023 07:54,-73.99539262,40.74025691,-73.99405897,40.7768458,6
13.19,24-09-2023 09:44,-73.95070517,40.77657458,-73.99497746,40.74496474,5
9.45,10-01-2023 13:37,-73.95287257,40.73939218,-73.99580328,40.74056042,4
5.12,14-12-2023 12:17,-73.97620412,40.75112744,-73.96024598,40.74680333,4
10.26,14-08-2023 02:49,-73.96806585,40.76218114,-73.95089878,40.73299574,5
7.78,19-11-2023 11:52,-73.96191418,40.74181778,-73.97791209,40.7260133,6
13.59,24-01-2023 06:24,-73.96674009,40.77830692,-74.00520999,40.72891471,6
12.55,19-07-2023 19:31,-73.96801028,40.77774684,-73.96493766,40.72999929,1
4.79,28-02-2023 23:41,-73.95248676,40.73510694,-73.95737673,40.73186041,3
6.33,10-06-2023 20:31,-73.97421263,40.74983491,-73.95412631,40.74519761,2
7.98,19-04-2023 05:46,-73.97182184,40.7380527,-73.97227348,40.75743396,6
9.27,13-02-2023 15:52,-73.95904387,40.73709043,-73.97958715,40.75773327,6
4.83,18-03-2023 07:55,-73.96980655,40.72221322,-73.97276836,40.72000585,4
10.68,19-10-2023 14:24,-73.96602404,40.75657386,-74.00922296,40.77525746,2
8.53,21-05-2023 23:47,-73.99594988,40.75016074,-73.97067481,40.76937083,1
14.42,02-07-2023 00:30,-73.98772398,40.72308873,-73.96742122,40.77783628,4
8.56,06-07-2023 20:22,-74.00116192,40.73671879,-73.96667818,40.74159918,5
5.5,05-01-2023 21:38,-73.97965407,40.77449595,-73.97621569,40.75988796,5
6.33,06-06-2023 12:04,-73.98265636,40.73437371,-73.96799734,40.73008124,4
12.6,24-05-2023 22:27,-73.95017023,40.72869369,-73.97167006,40.76902198,5
9.14,21-07-2023 10:10,-73.97332748,40.74936717,-74.00306829,40.72968206,1
10.17,21-03-2023 17:36,-73.96281331,40.77913903,-73.95609799,40.73955914,3
6.9,23-12-2023 04:09,-73.98995912,40.73452332,-73.97263635,40.74945009,3
4,01-03-2023 01:46,-73.96010728,40.76032813,-73.96633234,40.7556719,1
7.73,30-10-2023 01:50,-73.9730949,40.76569718,-73.98942675,40.75357798,5
5.23,20-05-2023 15:31,-73.96818046,40.73425825,-73.95484563,40.72612576,3
6.57,11-01-2023 20:40,-73.99233415,40.76369298,-73.97984305,40.74530056,5
9.94,25-07-2023 13:03,-73.9770817,40.74206699,-73.96925964,40.77537456,5
6.49,21-04-2023 23:04,-73.97195778,40.75793835,-73.95286908,40.77234211,2
6.62,18-08-2023 02:12,-73.97465432,40.75801178,-73.95503504,40.75544701,6
6.6,09-06-2023 06:39,-73.95508838,40.75214648,-73.97131207,40.75433947,3
9.3,01-09-2023 16:48,-73.95610364,40.72541739,-74.00005552,40.72670051,5
11.56,28-06-2023 01:12,-73.95174096,40.77011815,-73.95296589,40.73201557,2
6.62,16-02-2023 22:17,-73.96995432,40.7392468,-73.95095186,40.73515838,1
11.04,05-04-2023 06:07,-73.95168515,40.73119111,-74.0037962,40.74929174,6
12.28,14-12-2023 19:48,-73.96005132,40.72244651,-73.98298214,40.76388136,3
5.45,14-05-2023 12:48,-73.99375007,40.75545358,-73.97710467,40.74764352,1
10.09,17-06-2023 11:56,-73.98435386,40.76065386,-74.00447511,40.72756366,1
7.35,24-07-2023 12:46,-73.99569645,40.72099527,-73.9986192,40.74636093,6
9.44,09-10-2023 03:15,-74.00974817,40.75072558,-73.97773768,40.729758,6
13.09,23-07-2023 05:21,-73.99871707,40.73358975,-73.95221463,40.76506884,4
9.33,14-03-2023 18:46,-74.00975636,40.75871037,-74.0083314,40.72999005,3
6.76,17-12-2023 20:44,-73.96680969,40.73046199,-73.95525342,40.74895204,1
6.93,28-05-2023 03:56,-73.98446794,40.76145626,-73.95608351,40.76160482,6
8.92,11-07-2023 04:41,-73.99124552,40.74320412,-73.95856928,40.73369188,1
14.14,04-01-2023 13:50,-73.96429675,40.7762038,-73.98734694,40.72456181,1
8.44,29-11-2023 10:53,-73.96005079,40.72825126,-73.98055059,40.75379797,5
9.74,05-05-2023 17:07,-73.95148203,40.74046398,-73.98578432,40.72325216,3
10.05,03-06-2023 04:51,-73.97147918,40.72680841,-73.95314483,40.75526612,3
6.04,05-12-2023 15:47,-73.98230826,40.77548162,-73.97871896,40.76520991,3
9.82,23-05-2023 07:33,-73.99168414,40.77264036,-74.00516324,40.73975896,3
6.78,10-02-2023 07:24,-73.99666091,40.7354765,-73.99355641,40.74930096,3
7,27-03-2023 18:37,-73.99722444,40.75959904,-73.98227801,40.77572571,1
9.9,30-12-2023 22:30,-73.98544864,40.76903333,-73.95278664,40.74826653,2
10.21,17-05-2023 22:52,-73.95049282,40.75331205,-73.97586293,40.77979324,4
11.33,21-11-2023 00:42,-74.00994878,40.75177903,-73.96823564,40.72942014,3
8.57,09-11-2023 04:16,-73.99816765,40.73451114,-74.00468881,40.76253603,5
12.32,27-08-2023 07:38,-73.99869642,40.72558617,-73.95736056,40.75915712,2
5.28,26-02-2023 12:20,-73.96697283,40.77383295,-73.97765891,40.77233829,5
13.36,06-07-2023 20:28,-73.98885092,40.77402508,-73.9547263,40.72554659,1
6.52,13-11-2023 07:04,-73.98256435,40.75798609,-73.9832714,40.7368124,6
7.86,16-05-2023 14:48,-74.00108255,40.74034179,-73.96901496,40.72793075,4
9.22,23-10-2023 23:23,-73.98570018,40.74095257,-73.98174968,40.77598571,1
6.51,09-05-2023 06:00,-74.00380801,40.76355734,-74.00144652,40.74559812,1
5.4,13-08-2023 14:16,-73.9780174,40.77382662,-73.993677,40.77460395,6
10.96,05-10-2023 15:57,-74.0041237,40.77322519,-74.00596456,40.73766442,3
10.75,26-09-2023 09:53,-73.9625695,40.76679253,-73.98358402,40.72758209,6
6.85,03-11-2023 15:54,-73.9760039,40.7585219,-73.97103951,40.73779224,6
10.87,02-11-2023 00:13,-73.96656193,40.7250484,-73.99537732,40.75583046,5
11.22,23-09-2023 13:59,-73.98488902,40.72969772,-73.98057672,40.77071396,3
10.34,19-03-2023 23:35,-73.98711052,40.77391325,-73.9824616,40.74312344,1
9.14,22-06-2023 19:53,-74.00410747,40.75638574,-73.97799477,40.77488852,4
6.99,12-09-2023 01:37,-73.97856866,40.72055182,-73.99892492,40.73465392,2
10.66,19-04-2023 01:41,-73.97912987,40.72608829,-73.97796095,40.76161244,1
4.17,18-01-2023 23:38,-73.98191388,40.75981011,-73.98814767,40.7641428,1
8.82,28-01-2023 00:09,-73.9655689,40.7203037,-73.99283749,40.73643778,1
5.18,07-09-2023 01:19,-73.96004974,40.72964848,-73.97484108,40.72161819,5
8.48,17-09-2023 16:33,-73.96495262,40.75292403,-74.00111779,40.74191424,2
12.51,17-03-2023 13:48,-74.00136806,40.76151371,-73.95596048,40.72271177,4
7.25,04-01-2023 09:26,-73.97267643,40.75911768,-73.95390883,40.77404523,1
13.26,27-10-2023 21:45,-74.00518061,40.73345616,-73.97036342,40.77721152,2
6.39,13-03-2023 01:28,-73.96832266,40.76273075,-73.99181072,40.76412279,1
10.39,28-09-2023 02:09,-73.98708965,40.73423495,-73.97243965,40.76360108,6
7.46,16-01-2023 02:27,-74.00205006,40.73952398,-73.97390859,40.73445356,2
12.26,26-12-2023 11:41,-73.95827695,40.76478948,-73.98652494,40.72443553,2
6.72,02-11-2023 13:01,-73.9731595,40.75897797,-73.99276517,40.76812628,5
7.88,05-02-2023 11:06,-73.9887165,40.7709534,-73.99989282,40.75354972,5
4.87,25-09-2023 00:46,-74.00815637,40.75945677,-73.99695697,40.76089765,2
6.98,15-02-2023 04:16,-73.97776138,40.75409852,-73.9708182,40.76677846,3
7.71,31-10-2023 15:15,-73.95460645,40.72562049,-73.95684634,40.74456606,1
5.77,30-09-2023 15:46,-73.97421721,40.74206295,-73.98690264,40.7286728,5
13.72,27-10-2023 18:27,-73.95170096,40.73591214,-74.00268603,40.76770221,6
5.47,17-04-2023 00:16,-74.00181293,40.73463938,-74.00923162,40.74722594,2
4.78,07-08-2023 01:22,-73.97590169,40.77838063,-73.98564566,40.76961545,6
7.83,21-07-2023 21:09,-73.9621125,40.74358586,-73.99604598,40.74626195,3
10.52,22-01-2023 23:58,-73.97846756,40.77352279,-73.99064667,40.73302098,2
9.12,20-08-2023 20:07,-74.00453602,40.75786832,-73.99549981,40.7302603,4
4.3,14-01-2023 02:58,-73.97502684,40.76768868,-73.97015114,40.76463531,2
4.3,01-10-2023 23:57,-73.97329573,40.75015823,-73.97168914,40.75449335,4
6.24,13-08-2023 15:44,-73.96627745,40.75461423,-73.95526173,40.74427617,5
4.02,08-03-2023 14:42,-73.96432731,40.74955106,-73.96801531,40.74952701,5
11.06,09-09-2023 22:45,-73.96375364,40.73171458,-74.00010352,40.75297832,2
9.28,18-04-2023 20:43,-73.97019334,40.76334713,-73.96490433,40.73436499,5
4.82,21-01-2023 16:47,-73.99705133,40.73684634,-73.99912393,40.74268993,2
6.65,15-07-2023 01:38,-73.98574585,40.72145896,-73.97648395,40.73754469,6
10.07,30-08-2023 12:05,-73.9634322,40.75872834,-74.00537531,40.74330543,2
13.09,26-09-2023 13:33,-73.95279438,40.73062664,-74.0071605,40.75003373,4
11.82,02-04-2023 07:52,-74.00526318,40.77642752,-73.9821462,40.73040145,1
10.16,29-07-2023 16:45,-73.9778678,40.77723571,-74.00370099,40.7436109,2
9.19,05-02-2023 09:50,-73.99124866,40.77489186,-73.9916,40.74312967,1
5.67,05-11-2023 17:12,-73.99647637,40.74220952,-73.98967,40.73716023,3
15.75,22-08-2023 23:49,-73.97965136,40.7209274,-73.96383438,40.77990978,5
12.59,21-11-2023 13:29,-73.97363464,40.77569911,-73.99003919,40.72441765,3
7.61,10-08-2023 04:13,-74.00941367,40.74569105,-73.98034199,40.75857707,3
13.25,07-03-2023 09:47,-73.96318761,40.77799929,-73.96364484,40.73046632,2
8.51,06-06-2023 10:01,-73.96080707,40.7778172,-73.9977061,40.77037144,3
4.85,24-02-2023 11:58,-73.95206935,40.77118057,-73.96170616,40.77485179,2
8.23,05-09-2023 23:45,-73.99916138,40.73766693,-73.96009231,40.74408868,5
9.5,20-04-2023 00:50,-73.97432685,40.74310586,-73.95066919,40.76940871,5
11.05,09-09-2023 17:48,-73.98440248,40.7710682,-73.98335714,40.73499457,3
5.26,10-07-2023 07:42,-73.98991033,40.73901532,-73.98776104,40.72840411,2
6.29,12-10-2023 05:42,-73.97606199,40.73016956,-73.96787968,40.7389527,4
9.88,25-04-2023 05:45,-73.96305701,40.75340808,-74.00651093,40.74050044,4
9.93,18-04-2023 06:43,-74.00861683,40.77616929,-74.00761491,40.74384145,1
9.66,11-02-2023 19:26,-73.95183599,40.76176179,-73.98990055,40.74237754,1
5.46,26-06-2023 22:28,-73.9614071,40.75420367,-73.96622909,40.74466867,6
12.99,15-10-2023 10:56,-73.96493078,40.72583059,-74.00301273,40.762602,1
8.52,25-08-2023 18:16,-73.96437676,40.75690043,-73.97186719,40.73473481,3
13.72,04-01-2023 14:54,-73.98665636,40.77940323,-73.99382968,40.72111454,2
8.42,20-09-2023 21:21,-73.96490277,40.72840504,-73.97089952,40.74938083,1
4.54,17-09-2023 10:08,-73.98679379,40.75109978,-73.98258143,40.74689747,2
14.4,26-08-2023 15:29,-73.95607759,40.77264238,-74.0030909,40.7236039,3
11.07,19-09-2023 16:57,-73.99936666,40.76444612,-73.99516303,40.72802808,2
5.98,27-06-2023 01:29,-73.99245915,40.76182094,-73.99681717,40.75059525,6
9.78,28-03-2023 03:37,-73.97691975,40.76214905,-74.00012492,40.73408505,2
10.14,25-08-2023 00:57,-73.99084734,40.74156947,-73.98189927,40.7726559,3
7.67,25-03-2023 17:42,-73.98454577,40.73761551,-73.95272007,40.73039755,6
12.73,22-02-2023 14:28,-73.98045464,40.76856167,-73.97051467,40.72120736,4
8.54,04-09-2023 10:35,-73.9586188,40.7686068,-73.95983988,40.74685383,2
7.93,01-09-2023 18:28,-73.97860846,40.77202434,-73.95113519,40.77916979,2
7.22,16-04-2023 22:46,-73.98825241,40.77479443,-73.97756264,40.75803235,5
4.35,14-08-2023 22:06,-73.99513583,40.75068054,-73.9957158,40.74124178,5
9.94,18-03-2023 05:49,-73.98547944,40.75009098,-73.95433134,40.72101208,6
7.61,05-11-2023 02:35,-73.97905583,40.76789771,-73.96806096,40.74909691,1
9.26,12-08-2023 06:09,-73.96523311,40.75899784,-73.95246352,40.73238796,1
8.89,18-04-2023 11:23,-74.00273707,40.76211801,-73.97093808,40.75886525,3
9.58,26-03-2023 07:20,-73.99670345,40.76774756,-73.9634913,40.75498051,3
11.56,23-07-2023 13:12,-73.98722076,40.77340032,-73.95656183,40.73591283,5
8.47,18-04-2023 06:00,-73.9883761,40.74027971,-73.96444504,40.72413296,5
7.97,18-02-2023 20:01,-73.98649511,40.74253498,-73.97624125,40.76530115,1
9.68,26-08-2023 07:01,-73.96238872,40.72563892,-73.98168474,40.75512785,5
9.62,08-07-2023 00:23,-73.99055074,40.75469681,-73.96059736,40.77052757,2
7.41,13-12-2023 18:42,-73.97988611,40.72215654,-73.96368085,40.735588,2
7.5,10-06-2023 10:02,-73.97256558,40.74793588,-73.98801415,40.75917172,5
9.37,24-11-2023 18:28,-73.99606929,40.75255868,-73.98010008,40.72712083,3
4.67,02-06-2023 03:44,-73.96687828,40.73719248,-73.97190055,40.73750859,1
7.87,11-10-2023 06:03,-73.97717332,40.75545,-74.00829779,40.75939235,2
11.89,30-08-2023 09:26,-73.98319313,40.72183001,-73.99514588,40.76953488,6
9.55,21-03-2023 21:43,-73.96141296,40.72224089,-73.99498714,40.73925553,3
8.94,27-11-2023 18:53,-73.99539028,40.76935603,-73.95700611,40.76793121,6
9.63,26-09-2023 11:14,-73.95700944,40.74161144,-73.99011073,40.76066515,5
5.58,27-08-2023 08:08,-73.97633708,40.72762363,-73.9772914,40.74092049,6
7.34,18-07-2023 08:26,-73.97344951,40.7513346,-73.96010481,40.77258382,1
9.09,23-05-2023 12:30,-73.95749646,40.76619961,-73.99441837,40.75055374,1
11.54,14-07-2023 01:08,-73.96094504,40.73294926,-74.00257458,40.75889481,3
7.72,14-06-2023 08:56,-73.97390628,40.75737343,-73.95309841,40.74973788,3
8.67,09-05-2023 23:05,-73.96480874,40.72512085,-73.96771902,40.7471632,3
13.41,14-05-2023 17:49,-73.98400083,40.7231009,-73.99937677,40.77087866,6
7.98,02-10-2023 20:44,-73.97715733,40.75188128,-73.96081731,40.73768226,5
11.52,15-05-2023 08:46,-74.00627579,40.75243811,-73.9627724,40.72219775,5
9.49,07-10-2023 05:11,-74.00460852,40.75824579,-73.95974753,40.77278696,3
7.77,08-04-2023 06:14,-73.96023448,40.76356548,-73.99342725,40.76950144,5
11.44,03-06-2023 01:57,-74.0064197,40.77855112,-73.98308522,40.74199363,1
10.16,05-06-2023 21:22,-73.99983605,40.75097802,-73.96837958,40.73112707,4
9.63,10-09-2023 22:37,-73.96225004,40.73937739,-73.98655995,40.76053202,5
12.31,27-01-2023 09:14,-74.00993124,40.76771117,-74.00580167,40.72472565,1
6.17,27-06-2023 14:09,-73.99305574,40.73624994,-74.00181301,40.74542529,4
7.11,17-06-2023 18:19,-73.97495768,40.74633829,-73.97417319,40.72515174,4
8.86,10-02-2023 14:59,-73.974273,40.72470738,-73.98748991,40.75587458,3
10.18,31-10-2023 17:46,-73.96337083,40.72152104,-74.00967719,40.7216325,6
7.57,23-04-2023 09:37,-73.97964442,40.7777589,-73.96398873,40.7577543,3
4.77,11-09-2023 12:02,-73.97943589,40.77015881,-73.98499778,40.76039233,1
7.67,24-12-2023 15:10,-73.96648137,40.76175845,-73.99117384,40.74922867,3
6.78,15-06-2023 08:21,-73.98008253,40.74453718,-73.96718885,40.73050044,4
5.6,16-07-2023 22:22,-73.97349053,40.73039766,-73.98269347,40.72608364,1
6.61,15-11-2023 23:36,-73.95613356,40.72938622,-73.96831013,40.73879754,1
7.57,02-07-2023 22:20,-73.98591294,40.73501457,-74.00920812,40.7479124,6
7.74,24-03-2023 17:45,-73.9868925,40.7529536,-74.00943479,40.7585325,6
13.48,03-08-2023 19:24,-74.00978706,40.76287576,-73.97640588,40.72007501,1
6.59,07-05-2023 06:34,-73.97319442,40.75961184,-73.95106728,40.76266384,6
